t(sec) 1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64
0.107700 4.000287 4.001204 3.952968 4.014246 3.292567 2.557299 2.625905 2.856825 2.934733 2.867299 3.122503 2.818193 3.072051 3.268569 3.395116 3.842568 2.935905 2.871980 3.200148 3.539263 3.739263 3.912796 3.814246 2.970148 3.839739 3.732968 3.819045 3.069695 2.555116 2.961531 2.880287 3.187859 3.010148 3.075003 3.098544 3.502545 3.915522 3.786825 3.847859 2.912968 2.803637 2.792968 3.129088 2.968868 2.911980 2.815116 3.302383 3.502545 3.142447 3.202051 3.089739 2.764112 3.088982 3.109739 2.958544 3.064733 3.205522 3.090097 3.050326 2.952051 2.845116 3.199088 2.961980 3.054112
0.117500 4.005419 4.010943 3.960143 4.018456 3.287394 2.569716 2.633419 2.861963 2.942195 2.879716 3.123201 2.823047 3.060084 3.263307 3.402516 3.845441 2.943419 2.876601 3.205047 3.549083 3.749083 3.907475 3.818456 2.975047 3.839503 3.740143 3.823797 3.067490 2.562516 2.956158 2.885419 3.182160 3.015047 3.070756 3.106020 3.512299 3.916014 3.791963 3.842160 2.920143 2.806110 2.800143 3.124085 2.976576 2.916601 2.822516 3.306553 3.512299 3.142932 3.190084 3.089503 2.771799 3.093128 3.109503 2.966020 3.072195 3.206014 3.092889 3.055511 2.940084 2.852516 3.194085 2.966601 3.061799
0.127300 4.017782 4.026044 3.973287 4.021790 3.290504 2.585863 2.646600 2.872767 2.952994 2.895863 3.120254 2.833567 3.071641 3.265716 3.413598 3.855353 2.956600 2.884949 3.215298 3.565492 3.765492 3.908443 3.821790 2.985298 3.845577 3.753287 3.830263 3.074944 2.573598 2.959174 2.897782 3.182795 3.025298 3.080643 3.117488 3.525795 3.925924 3.802767 3.842795 2.933287 2.814249 2.813287 3.129514 2.992150 2.924949 2.833598 3.309570 3.525795 3.153128 3.201641 3.095577 2.785153 3.096492 3.115577 2.977488 3.082994 3.215924 3.103666 3.068255 2.951641 2.863598 3.199514 2.974949 3.075153
0.137100 4.026318 4.039259 3.988346 4.030330 3.295364 2.604024 2.660385 2.883896 2.964118 2.914024 3.135868 2.844111 3.074380 3.266391 3.427340 3.858369 2.970385 2.895312 3.223607 3.586569 3.786569 3.913041 3.830330 2.993607 3.855705 3.768346 3.827730 3.077717 2.587340 2.963393 2.906318 3.187636 3.033607 3.083060 3.133097 3.541292 3.929557 3.813896 3.847636 2.948346 2.821499 2.828346 3.134660 3.008032 2.935312 2.847340 3.315332 3.541292 3.158886 3.204380 3.105705 2.798530 3.104681 3.125705 2.993097 3.094118 3.219557 3.114167 3.078792 2.954380 2.877340 3.204660 2.985312 3.088530
0.146900 4.033819 4.049942 3.996213 4.035247 3.291363 2.615152 2.673243 2.891890 2.972377 2.925152 3.138571 2.849666 3.069469 3.265788 3.437925 3.859414 2.983243 2.898649 3.228949 3.588052 3.788052 3.905636 3.835247 2.998949 3.856184 3.776213 3.839936 3.076064 2.597925 2.954281 2.913819 3.182115 3.038949 3.077818 3.139228 3.549770 3.934698 3.821890 3.842115 2.956213 2.817942 2.836213 3.131849 3.020914 2.938649 2.857925 3.318570 3.549770 3.161812 3.199469 3.106184 2.806926 3.107349 3.126184 2.999228 3.102377 3.224698 3.117320 3.084341 2.949469 2.887925 3.201849 2.988649 3.096926
0.156700 4.039638 4.064784 4.006630 4.033349 3.296148 2.631024 2.683899 2.897621 2.980983 2.941024 3.139422 2.857858 3.063237 3.258852 3.446685 3.868647 2.993899 2.907217 3.234663 3.600928 3.800928 3.899329 3.833349 3.004663 3.859417 3.786630 3.840343 3.082001 2.606685 2.959908 2.919638 3.175291 3.044663 3.073479 3.150515 3.562984 3.935772 3.827621 3.835291 2.966630 2.828419 2.846630 3.127927 3.033898 2.947217 2.866685 3.324196 3.562984 3.165128 3.193237 3.109417 2.818020 3.108198 3.129417 3.010515 3.110983 3.225772 3.123025 3.092523 2.943237 2.896685 3.197927 2.997217 3.108020
0.166500 4.047035 4.071935 4.016183 4.033195 3.288819 2.643687 2.691314 2.900539 2.988692 2.953687 3.141646 2.865341 3.060992 3.256392 3.456995 3.879867 3.001314 2.916909 3.239462 3.610652 3.810652 3.899357 3.833195 3.009462 3.861708 3.796183 3.837900 3.086826 2.616995 2.959951 2.927035 3.175137 3.049462 3.074301 3.160929 3.572982 3.940519 3.830539 3.835137 2.976183 2.828072 2.856183 3.133269 3.043710 2.956909 2.876995 3.325025 3.572982 3.167691 3.190992 3.111708 2.828244 3.110389 3.131708 3.020929 3.118692 3.230519 3.125736 3.099633 2.940992 2.906995 3.203269 3.006909 3.118244
0.176300 4.053806 4.076604 4.022821 4.032893 3.290828 2.653618 2.696169 2.907635 2.993590 2.963618 3.138740 2.872195 3.062811 3.258446 3.464513 3.861355 3.006169 2.919197 3.241715 3.617722 3.817722 3.901270 3.832893 3.011715 3.861397 3.802821 3.839936 3.086026 2.624513 2.962062 2.933806 3.174665 3.051715 3.086309 3.168362 3.580263 3.937471 3.837635 3.834665 2.982821 2.825222 2.862821 3.137620 3.050849 2.959197 2.884513 3.336790 3.580263 3.169768 3.192811 3.111397 2.835373 3.107517 3.131397 3.028362 3.123590 3.227471 3.130284 3.101859 2.942811 2.914513 3.207620 3.009197 3.125373
0.186100 4.056722 4.084231 4.025816 4.035798 3.290830 2.664293 2.704194 2.908043 2.999231 2.974293 3.141644 2.875142 3.062958 3.258443 3.472775 3.862047 3.014194 2.924537 3.247122 3.625537 3.825537 3.901282 3.835798 3.017122 3.864167 3.805816 3.840480 3.081483 2.632775 2.962193 2.936722 3.174937 3.057122 3.081120 3.174014 3.588287 3.938022 3.838043 3.834937 2.985816 2.828203 2.865816 3.132676 3.058731 2.964537 2.892775 3.326902 3.588287 3.170178 3.192958 3.114167 2.838556 3.110942 3.134167 3.034014 3.129231 3.228022 3.130692 3.107345 2.942958 2.922775 3.202676 3.014537 3.128556
0.195900 4.061719 4.089283 4.033189 4.035763 3.285509 2.674658 2.711805 2.910803 3.004564 2.984658 3.141608 2.880196 3.060680 3.253136 3.480728 3.870244 3.021805 2.927207 3.252117 3.633042 3.833042 3.896166 3.835763 3.022117 3.864132 3.813189 3.845676 3.086699 2.640728 2.959519 2.941719 3.174681 3.062117 3.075737 3.179357 3.596002 3.943251 3.840803 3.834681 2.993189 2.830766 2.873189 3.132641 3.066407 2.967207 2.900728 3.332365 3.596002 3.172857 3.190680 3.114132 2.846442 3.121180 3.134132 3.039357 3.134564 3.233251 3.133437 3.114728 2.940680 2.930728 3.202641 3.017207 3.136442
0.205600 4.066678 4.096591 4.040529 4.035791 3.280435 2.684828 2.716871 2.916015 3.009799 2.994828 3.141580 2.885186 3.062972 3.250526 3.488532 3.878203 3.026871 2.932278 3.254633 3.640434 3.840434 3.891236 3.835791 3.024633 3.864185 3.820529 3.848266 3.089408 2.648532 2.959547 2.946678 3.169355 3.064633 3.073201 3.184630 3.603573 3.943363 3.846015 3.829355 3.000529 2.830876 2.880529 3.132669 3.076301 2.972278 2.908532 3.337699 3.603573 3.175492 3.192972 3.114185 2.854155 3.115875 3.134185 3.044630 3.139799 3.233363 3.138650 3.117246 2.942972 2.938532 3.202669 3.022278 3.144155
0.215400 4.074229 4.101580 4.055355 4.038567 3.285723 2.692632 2.722041 2.916015 3.012484 3.002632 3.138807 2.890278 3.055649 3.250526 3.493859 3.875457 3.032041 2.934879 3.257202 3.647977 3.847977 3.891236 3.838567 3.027202 3.869450 3.835355 3.848266 3.100131 2.653859 2.962298 2.954229 3.166624 3.067202 3.084121 3.190011 3.608743 3.954341 3.846015 3.826624 3.015355 2.841712 2.895355 3.135417 3.081376 2.974879 2.913859 3.337699 3.608743 3.175492 3.185649 3.119450 2.856797 3.115875 3.139450 3.050011 3.142484 3.244341 3.141324 3.122331 2.935649 2.943859 3.205417 3.024879 3.146797
0.225200 4.074265 4.104109 4.047978 4.030276 3.291046 2.697870 2.724661 2.918737 3.015205 3.007870 3.141616 2.892859 3.055685 3.253253 3.496558 3.880983 3.034661 2.934915 3.259805 3.653042 3.853042 3.893813 3.830276 3.029805 3.869486 3.827978 3.861658 3.086763 2.656558 2.967835 2.954265 3.166659 3.069805 3.089617 3.192736 3.611363 3.951632 3.848737 3.826659 3.007978 2.839039 2.887978 3.143696 3.083948 2.974915 2.916558 3.334984 3.611363 3.175527 3.185685 3.119486 2.859474 3.115910 3.139486 3.052736 3.145205 3.241632 3.138686 3.122367 2.935685 2.946558 3.213696 3.024915 3.149474
0.235000 4.079637 4.106993 4.050737 4.038822 3.294107 2.703462 2.730194 2.919154 3.015621 3.013462 3.139288 2.895795 3.058491 3.253669 3.502248 3.884146 3.040194 2.937878 3.260221 3.653483 3.853483 3.894228 3.838822 3.030221 3.869875 3.830737 3.851608 3.100283 2.662248 2.968280 2.959637 3.169752 3.070221 3.087360 3.193153 3.614337 3.954710 3.849154 3.829752 3.010737 2.852808 2.890737 3.144170 3.084364 2.977878 2.922248 3.340790 3.614337 3.175917 3.188491 3.119875 2.862505 3.119007 3.139875 3.053153 3.145621 3.244710 3.141694 3.125273 2.938491 2.952248 3.214170 3.027878 3.152505
0.244800 4.081958 4.104353 4.050540 4.041462 3.296503 2.703321 2.724987 2.921539 3.012744 3.013321 3.138984 2.898093 3.060684 3.258695 3.499499 3.886643 3.034987 2.937683 3.259973 3.655698 3.855698 3.896471 3.841462 3.029973 3.869627 3.830540 3.848525 3.102934 2.659499 2.970727 2.961958 3.169560 3.069973 3.097754 3.192905 3.614142 3.959894 3.851539 3.829560 3.010540 2.844875 2.890540 3.151998 3.084116 2.977683 2.919499 3.340655 3.614142 3.173008 3.190684 3.119627 2.859724 3.121494 3.139627 3.052905 3.142744 3.249894 3.138882 3.125077 2.940684 2.949499 3.221998 3.027683 3.149724
0.254600 4.081858 4.099312 4.050363 4.038707 3.296406 2.703144 2.727133 2.918865 3.012484 3.013144 3.138807 2.897994 3.062924 3.258682 3.499241 3.878647 3.037133 2.937506 3.257331 3.653185 3.853185 3.903689 3.838707 3.027331 3.866924 3.830363 3.848266 3.097694 2.659241 2.973274 2.961858 3.174625 3.067331 3.097911 3.192728 3.611484 3.954618 3.848865 3.834625 3.010363 2.839250 2.890363 3.149436 3.081504 2.977506 2.919241 3.337838 3.611484 3.175355 3.192924 3.116924 2.856930 3.116151 3.136924 3.052728 3.142484 3.244618 3.141189 3.122460 2.942924 2.949241 3.219436 3.027506 3.146930
0.264400 4.082094 4.099296 4.048254 4.036169 3.299151 2.703380 2.727499 2.921516 3.012720 3.013380 3.139043 2.895814 3.063283 3.261472 3.502005 3.878467 3.037499 2.935274 3.257438 3.650907 3.850907 3.901898 3.836169 3.027438 3.869525 3.828254 3.843433 3.092571 2.662005 2.973649 2.962094 3.172546 3.067438 3.090375 3.190411 3.609137 3.949368 3.851516 3.832546 3.008254 2.834070 2.888254 3.146925 3.081612 2.975274 2.922005 3.332715 3.609137 3.175728 3.193283 3.119525 2.857033 3.116111 3.139525 3.050411 3.142720 3.239368 3.139023 3.122567 2.943283 2.952005 3.216925 3.025274 3.147033
0.274200 4.081964 4.103849 4.050293 4.043685 3.291737 2.705692 2.729796 2.924073 3.015111 3.015692 3.136309 2.897918 3.060862 3.256454 3.504539 3.865451 3.039796 2.937427 3.257308 3.652984 3.852984 3.899227 3.843685 3.027308 3.869556 3.830293 3.837961 3.094630 2.664539 2.970937 2.961964 3.172249 3.067308 3.082054 3.195168 3.611275 3.941173 3.854073 3.832249 3.010293 2.825979 2.890293 3.141468 3.083864 2.977427 2.924539 3.324503 3.611275 3.175598 3.190862 3.119556 2.861863 3.108278 3.139556 3.055168 3.145111 3.231173 3.141239 3.124824 2.940862 2.954539 3.211468 3.027427 3.151863
0.284000 4.084313 4.104218 4.052775 4.028829 3.288728 2.713138 2.734793 2.924277 3.020301 3.023138 3.133547 2.902841 3.058433 3.253582 3.509688 3.859384 3.044793 2.940040 3.259705 3.655511 3.855511 3.894336 3.828829 3.029705 3.869568 3.832775 3.835111 3.079898 2.669688 2.965643 2.964313 3.169724 3.069705 3.076411 3.198062 3.616272 3.938049 3.854277 3.829724 3.012775 2.820380 2.892775 3.135983 3.088770 2.980040 2.929688 3.321371 3.616272 3.175610 3.188433 3.119568 2.867158 3.105164 3.139568 3.058062 3.150301 3.228049 3.141442 3.125018 2.938433 2.959688 3.205983 3.030040 3.157158
0.293800 4.086948 4.111208 4.057634 4.027588 3.283774 2.718671 2.737707 2.924395 3.020858 3.028671 3.135986 2.905713 3.053868 3.251009 3.515134 3.859054 3.047707 2.945148 3.262391 3.660452 3.860452 3.891705 3.827588 3.032391 3.872104 3.837634 3.837464 3.078703 2.675134 2.960260 2.966948 3.167111 3.072391 3.073576 3.203341 3.621559 3.935422 3.854395 3.827111 3.017634 2.820056 2.897634 3.130606 3.093962 2.985148 2.935134 3.321265 3.621559 3.178222 3.183868 3.122104 2.870134 3.107570 3.142104 3.063341 3.150858 3.225422 3.141560 3.127471 2.933868 2.965134 3.200606 3.035148 3.160134
0.303600 4.093638 4.113808 4.062201 4.034743 3.278204 2.725837 2.742263 2.926481 3.025356 3.035837 3.135911 2.910195 3.050895 3.248011 3.522478 3.868596 3.052263 2.947633 3.264605 3.665105 3.865105 3.888856 3.834743 3.034605 3.872015 3.842201 3.839780 3.083192 2.682478 2.956951 2.973638 3.164074 3.074605 3.072995 3.208343 3.628676 3.937307 3.856481 3.824074 3.022201 2.824596 2.902201 3.129771 3.100943 2.987633 2.942478 3.323407 3.628676 3.180583 3.180895 3.122015 2.874797 3.109950 3.142015 3.068343 3.155356 3.227307 3.141230 3.129660 2.930895 2.972478 3.199771 3.037633 3.164797
0.313400 4.097196 4.118998 4.065427 4.033689 3.280447 2.731808 2.747912 2.929649 3.031204 3.041808 3.136395 2.915766 3.051107 3.248196 3.526214 3.875175 3.057912 2.953024 3.267654 3.670613 3.870613 3.886801 3.833689 3.037654 3.874836 3.845427 3.840561 3.084272 2.686214 2.959571 2.977196 3.161829 3.077654 3.073479 3.214202 3.634611 3.940532 3.859649 3.821829 3.025427 2.828087 2.905427 3.132694 3.104526 2.993024 2.946214 3.329079 3.634611 3.181368 3.181107 3.124836 2.882904 3.110738 3.144836 3.074202 3.161204 3.230532 3.146461 3.132684 2.931107 2.976214 3.202694 3.043024 3.172904
0.323200 4.101533 4.123597 4.069678 4.032959 3.278062 2.738906 2.752693 2.927230 3.036185 3.048906 3.133571 2.918234 3.048576 3.243083 3.533165 3.856185 3.062693 2.955554 3.269833 3.673046 3.873046 3.883870 3.832959 3.039833 3.877079 3.849678 3.833139 3.074473 2.693165 2.957105 2.981533 3.158709 3.079833 3.068298 3.219193 3.639392 3.933254 3.857230 3.818709 3.029678 2.820898 2.909678 3.130229 3.113356 2.995554 2.953165 3.322123 3.639392 3.183362 3.178576 3.127079 2.888122 3.105548 3.147079 3.079193 3.166185 3.223254 3.149072 3.137069 2.928576 2.983165 3.200229 3.045554 3.178122
0.332900 4.106516 4.137088 4.076688 4.028202 3.270913 2.748863 2.760027 2.931481 3.043803 3.058863 3.133203 2.927303 3.044068 3.237756 3.541075 3.848566 3.070027 2.962588 3.274577 3.679846 3.879846 3.879176 3.828202 3.044577 3.879685 3.856688 3.829787 3.063860 2.701075 2.949667 2.986516 3.153665 3.084577 3.058214 3.229132 3.651158 3.927458 3.861481 3.813665 3.036688 2.812854 2.916688 3.134576 3.125580 3.002588 2.961075 3.316314 3.651158 3.183722 3.174068 3.129685 2.897881 3.102478 3.149685 3.089132 3.173803 3.217458 3.154011 3.142103 2.924068 2.991075 3.204576 3.052588 3.187881
0.342700 4.115815 4.145717 4.086194 4.029703 3.265221 2.763681 2.769973 2.936856 3.051859 3.073681 3.135552 2.937490 3.037119 3.232373 3.553580 3.857025 3.079973 2.970392 3.284065 3.693779 3.893779 3.871941 3.829703 3.054065 3.882318 3.866194 3.838427 3.066759 2.713580 2.939086 2.995815 3.148203 3.094065 3.051919 3.242173 3.664084 3.924294 3.866856 3.808203 3.046194 2.811610 2.926194 3.116799 3.136121 3.010392 2.973580 3.327118 3.664084 3.188323 3.167119 3.132318 2.908450 3.106692 3.152318 3.102173 3.181859 3.214294 3.157094 3.151497 2.917119 3.003580 3.186799 3.060392 3.198450
0.352500 4.125872 4.151102 4.096067 4.037111 3.264346 2.774929 2.773814 2.939970 3.059903 3.084929 3.135993 2.947666 3.031828 3.231483 3.562431 3.874885 3.083814 2.980360 3.287879 3.702543 3.902543 3.868558 3.837111 3.057879 3.884939 3.876067 3.842395 3.083324 2.722431 2.944182 3.005872 3.147299 3.097879 3.060152 3.251112 3.674837 3.939907 3.869970 3.807299 3.056067 2.827465 2.936067 3.115497 3.142015 3.020360 2.982431 3.336256 3.674837 3.191471 3.161828 3.134939 2.914585 3.102997 3.154939 3.111112 3.189903 3.229907 3.161993 3.155274 2.911828 3.012431 3.185497 3.070360 3.204585
0.362300 4.131751 4.151979 4.097794 4.036296 3.270847 2.778877 2.776390 2.940448 3.063510 3.088877 3.136005 2.953613 3.026999 3.233697 3.568190 3.869245 3.086390 2.984305 3.288337 3.705921 3.905921 3.874367 3.836296 3.058337 3.887562 3.877794 3.838499 3.086590 2.728190 2.950127 3.011751 3.149545 3.098337 3.073228 3.252524 3.678759 3.943251 3.870448 3.809545 3.057794 2.830766 2.937794 3.127228 3.144984 3.024305 2.988190 3.330947 3.678759 3.191954 3.156999 3.137562 2.917676 3.108774 3.157562 3.112524 3.193510 3.233251 3.162933 3.157808 2.906999 3.018190 3.197228 3.074305 3.207676
0.372100 4.137012 4.156237 4.107991 4.029287 3.272606 2.783809 2.779207 2.940684 3.066426 3.093809 3.142948 2.956880 3.034167 3.234449 3.571596 3.856309 3.089207 2.987138 3.290644 3.708667 3.908667 3.876067 3.829287 3.060644 3.888303 3.887991 3.835556 3.076022 2.731596 2.951419 3.017012 3.150306 3.100644 3.067281 3.257099 3.681576 3.936851 3.870684 3.810306 3.067991 2.822267 2.947991 3.127886 3.149801 3.027138 2.991596 3.318514 3.681576 3.192190 3.164167 3.138303 2.922678 3.106175 3.158303 3.117099 3.196426 3.226851 3.165324 3.160582 2.914167 3.021596 3.197886 3.077138 3.212678
0.381900 4.141811 4.159005 4.106342 4.038397 3.270266 2.790850 2.783615 2.942587 3.071013 3.100850 3.137788 2.963246 3.035924 3.232071 3.576145 3.848902 3.093615 2.991573 3.295021 3.712948 3.912948 3.873808 3.838397 3.065021 3.890163 3.886342 3.830523 3.073050 2.736145 2.948994 3.021811 3.150070 3.105021 3.060470 3.262244 3.688042 3.928382 3.872587 3.810070 3.066342 2.813352 2.946342 3.122715 3.154642 3.031573 2.996145 3.326417 3.688042 3.196277 3.165924 3.140163 2.927727 3.102646 3.160163 3.122244 3.201013 3.218382 3.167762 3.162889 2.915924 3.026145 3.192715 3.081573 3.217727
0.391700 4.149060 4.159776 4.111345 4.028523 3.265781 2.800940 2.793087 2.945510 3.078730 3.110940 3.136241 2.973125 3.030407 3.229616 3.585897 3.847962 3.103087 2.997012 3.300394 3.720189 3.920189 3.869506 3.828523 3.070394 3.893031 3.891345 3.827515 3.062755 2.745897 2.944318 3.029060 3.146014 3.110394 3.053102 3.272091 3.698068 3.924698 3.875510 3.806014 3.071345 2.811846 2.951345 3.110978 3.161950 3.037012 3.005897 3.316634 3.698068 3.199811 3.160407 3.143031 2.935324 3.100146 3.163031 3.132091 3.208730 3.214698 3.170672 3.169666 2.910407 3.035897 3.180978 3.087012 3.225324
0.401500 4.156435 4.175077 4.118582 4.026760 3.258266 2.813195 2.801248 2.948021 3.088693 3.123195 3.136064 2.983137 3.026693 3.224661 3.594311 3.847784 3.111248 3.006073 3.305355 3.729508 3.929508 3.864246 3.826760 3.075355 3.895487 3.898582 3.830882 3.059569 2.754311 2.938640 3.036435 3.140375 3.115355 3.046852 3.282678 3.710242 3.923905 3.878021 3.800375 3.078582 2.807467 2.958582 3.109848 3.173327 3.046073 3.014311 3.312752 3.710242 3.202350 3.156693 3.145487 2.943074 3.099355 3.165487 3.142678 3.218693 3.213905 3.173169 3.175147 2.906693 3.044311 3.179848 3.096073 3.233074
